Name,Card Type,Code,Color,Trait,Level,Cost,AP,HP,Link Requirement,Command Pilot/Pilot Name,Unit Link (Pilot/Trait),Link Description,Pair Effect,Pair Description,Repair,Breach,Support,High Maneuver,Destroyed Effect,Deploy Effect,Rest Effect,First Strike Effect,Ping Effect,Token/Unit Generation,Resource Generation,Cost Reduction Effect,Set Unit/Base As Active,Active Enemy Target Effect,Draw Card Effect,Recover Effect,AP(+) Effect,AP(-) Effect,HP(+) Effect,AP Reduction Prevention,Damage Prevention Effect,Force Target Priority,Bounce Effect,Blocker,Effect Description
Zaku Ⅲ (Sleeves),Unit,GD02-048,Red,(Neo Zeon),3,2,4,1,Yes,None,Neo Zeon (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Daughtress,Unit,GD02-049,Red,(New UNE),1,1,1,1,No,None,None,None,No,None,0,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Ga-Zowmn (Sleeves),Unit,GD02-050,Red,(Neo Zeon),2,2,3,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
01 Gundam,Unit,GD02-051,Red,(Earth Federation),2,2,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Guncannon (GQ),Unit,GD02-052,Red,(Earth Federation),2,2,3,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Jenice Custom,Unit,GD02-065,Purple,(Vulture),1,1,1,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam Barbatos 1st Form,Unit,GD02-054,Purple,(Tekkadan)(Gundam Frame),3,2,3,2,Yes,None,Mikazuki Augus,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Attack]If this Unit is damaged, draw 1."
Gundam Gusion Rebake,Unit,GD02-055,Purple,(Tekkadan)(Gundam Frame),5,4,3,5,Yes,None,Akihiro Altland,None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,[Deploy]Choose 1 of your Units and 1 enemy Unit. Deal 1 damage to them.
Gundam Airmaster (Fighter Mode),Unit,GD02-063,Purple,(Vulture),3,2,3,3,Yes,None,Vulture (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Zedas,Unit,GD02-057,Purple,(UE)(Vagan),5,3,5,3,Yes,None,Desil Galette,None,Yes,"[During Pair][Attack]You may choose 1 of your other Units. Destroy it. If you do, choose 1 enemy Unit that is Lv.4 or lower. Deal 2 damage to it.",0,0,0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[During Pair][Attack]You may choose 1 of your other Units. Destroy it. If you do, choose 1 enemy Unit that is Lv.4 or lower. Deal 2 damage to it."
Ryusei-Go (Graze Custom Ⅱ),Unit,GD02-058,Purple,(Tekkadan),3,2,2,2,Yes,None,Tekkadan (Trait),None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Deploy]Choose 1 of your Units. Deal 1 damage to it. If you do, draw 1. Then, discard 1."
Gundam X,Unit,GD02-056,Purple,(Vulture),4,3,3,4,Yes,None,Garrod Ran,None,Yes,[During Pair･(Vulture) Pilot][Destroyed]Choose 1 (Vulture) Unit card that is Lv.5 or higher from your trash. Add it to your hand.,0,0,0,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,[During Pair･(Vulture) Pilot][Destroyed]Choose 1 (Vulture) Unit card that is Lv.5 or higher from your trash. Add it to your hand.
Gundam Airmaster,Unit,GD02-059,Purple,(Vulture),4,3,4,3,Yes,None,Vulture (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None
Hyakuri,Unit,GD02-061,Purple,(Teiwaz),4,2,3,3,Yes,None,Teiwaz (Trait),None,Yes,"[When Paired･Purple Pilot]If there are 3 or more (Teiwaz)/(Tekkadan) cards in your trash, choose 1 enemy Unit with 3 or less AP. Rest it.",0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[When Paired･Purple Pilot]If there are 3 or more (Teiwaz)/(Tekkadan) cards in your trash, choose 1 enemy Unit with 3 or less AP. Rest it."
Amida's Hyakuren,Unit,GD02-062,Purple,(Teiwaz),4,2,3,4,Yes,None,Teiwaz (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam Leopard,Unit,GD02-060,Purple,(Vulture),5,4,4,4,Yes,None,Roybea Loy,None,No,None,0,0,0,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Deploy]If there are 7 or more cards in your trash, choose 1 enemy Unit that is Lv.4 or lower. Rest it."
Gundam Leopard,Unit,GD02-064,Purple,(Vulture),5,4,4,4,Yes,None,Vulture (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"During your turn, while there are 7 or more cards in your trash, this Unit can't receive effect damage from enemy Commands."
Gundam X Divider | GX-9900-DV,Unit,GD03-051,Purple,(Vulture),6,4,4,4,Yes,None,Garrod Ran/Jamil Neate,[When Linked] You may choose 1 Unit card that is Lv.4 or lower from your trash. Pay its cost to deploy it.,No,None,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Linked] You may choose 1 Unit card that is Lv.4 or lower from your trash. Pay its cost to deploy it.
Gafran,Unit,GD02-066,Purple,(UE)(Vagan),2,1,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,This Unit can't choose the enemy player as its attack target.
Baqto,Unit,GD02-067,Purple,(UE)(Vagan),2,2,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam Barbatos 3rd Form,Unit,GD02-068,Purple,(Tekkadan)(Gundam Frame),4,2,3,5,Yes,None,Tekkadan (Trait),None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy]Deal 2 damage to this Unit.
Zeta Gundam,Unit,GD02-069,White,(AEUG),6,5,5,4,Yes,None,Kamille Bidan,"[During Link][Activate･Main][Once per Turn]Choose 1 active friendly Base. Rest it. If you do, set this Unit as active. It can't choose the enemy player as its attack target during this turn.",No,None,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"[During Link][Activate･Main][Once per Turn]Choose 1 active friendly Base. Rest it. If you do, set this Unit as active. It can't choose the enemy player as its attack target during this turn."
Gundam Kimaris,Unit,GD02-070,White,(Gjallarhorn)(Gundarm Frame),5,4,4,4,Yes,None,Gaelio Bauduin,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Deploy]If there are 4 or more (Gjallarhorn) cards in your trash, draw 2. If you do, discard 2."
Gundam Mk-II (AEUG),Unit,GD02-071,White,(AEUG),4,3,3,4,Yes,None,AEUG (Trait),None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Deploy]If a friendly white Base is in play, you may pair 1 (AEUG) Pilot card from your hand with this Unit."
Hyaku-Shiki,Unit,GD02-072,White,(AEUG),5,3,4,4,Yes,None,Quattro Bajeena,None,No,None,1,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,none
Carta's Graze Ritter (Ground Type),Unit,GD02-073,White,(Gjallarhorn),4,3,5,4,Yes,None,Carta Issue,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"During your opponent's turn, the enemy Unit battling this Unit gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)"
Gundam Aerial Rebuild,Unit,GD02-074,White,(Academy),7,5,5,5,Yes,None,Suletta Mercury,None,Yes,"[During Pair]While there are 4 or more Command cards in your trash, this Unit gains <Blocker>",0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes*,"[During Pair]While there are 4 or more Command cards in your trash, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)"
Rick Dias (Red),Unit,GD02-075,White,(AEUG),4,3,4,3,Yes,None,AEUG (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"[Attack]Choose 1 active friendly Base. Rest it. If you do, choose 1 enemy Unit that is Lv.4 or lower. It gets AP-2 during this battle."
Buster Gundam,Unit,GD02-076,White,(Triple Ship Alliance),4,3,4,3,Yes,None,Coordinator (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes*,"While this Unit has 5 or more AP, it gains <Blocker>. (Rest this Unit to change the attack target to it.)"
Ein's Schwalbe Graze,Unit,GD02-077,White,(Gjallarhorn),4,2,4,3,Yes,None,Gjallarhorn (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam Pharact,Unit,GD02-078,White,(Academy),5,3,5,4,Yes,None,Elan Ceres,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Rick Dias,Unit,GD02-079,White,(AEUG),3,2,3,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None
Nemo,Unit,GD02-080,White,(AEUG),2,1,2,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Methuss,Unit,GD02-081,White,(AEUG),2,2,1,1,Yes,None,Fa Yuiry,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"[Deploy]If a friendly white Base is in play, choose 1 enemy Unit. It gets AP-2 during this turn."
Gaelio's Schwalbe Graze,Unit,GD02-082,White,(Gjallarhorn),3,2,3,3,Yes,None,Gaelio Bauduin,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes*,"While you have another (Gjallarhorn) Unit in play, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)"
Graze Ritter (Ground Type),Unit,GD02-083,White,(Gjallarhorn),3,2,3,2,No,None,None,None,No,None,0,0,0,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"[Destroyed]If it is your opponent's turn, choose 1 of your (Gjallarhorn) Units. Set it as active."
Lauda's Dilanza,Unit,GD02-084,White,(Academy),2,2,1,3,Yes,None,Academy (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Four Murasame,Pilot,GD02-085,Blue,(Titans)(Cyber-Newtype),5,1,2,1,No,Four Murasame,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[During Link][Once per Turn]During your turn, when this Unit recovers HP, if you have 4 or less cards in your hand, draw 1."
Jerid Messa,Pilot,GD02-086,Blue,(Titans),3,1,1,1,No,Jerid Messa,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"While you have another (Titans) Unit in play, this gets AP+1."
"Orga, Crot, and Shani",Pilot,GD02-087,Blue,(Earth Alliance)(Biological CPU),5,1,2,1,No,"Orga, Crot, and Shani",None,None,No,None,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[When Linked]If this is a blue Unit, choose 1 enemy Unit with <Blocker>. Rest it."
Flit Asuno,Pilot,GD02-088,Green,(Earth Federation)(Asuno Family)(X-Rounder),3,1,1,1,No,Flit Asuno,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[When Linked]Look at the top 3 cards of your deck. You may reveal 1 green (Earth Federation) Unit card/1 card with ""AGE Device"" in its card name among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck."
Lalah Sune,Pilot,GD02-089,Green,(Zeon)(Newtype),3,1,1,1,No,Lalah Sune,None,None,No,None,0,1*,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired]Choose 1 of your other (Zeon) Link Units. It gains <Breach 1> during this turn.
Challia Bull (GQ),Pilot,GD02-090,Green,(Zeon)(Newtype),5,1,1,2,No,Challia Bull (GQ),None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"While you have another Unit with <High-Maneuver> in play, this Unit gets AP+1."
Haman Karn,Pilot,GD02-091,Red,(Neo Zeon)(Newtype),5,1,2,1,No,Haman Karn,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[When Paired]If this Unit is red, choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it."
Shagia Frost,Pilot,GD02-092,Red,(New UNE),4,1,1,2,No,Shagia Frost,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No, [During Link][Attack]Choose 1 of your (New UNE) Units. It gets AP+2 during this turn.
Olba Frost,Pilot,GD02-093,Red,(New UNE),3,1,1,1,No,Olba Frost,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"During your turn, when this Unit destroys an enemy Unit paired with a (Newtype) Pilot with battle damage, draw 1."
Garrod Ran & Tiffa Adill,Pilot,GD02-094,Purple,(Vulture)(Newtype),4,1,1,2,No,Garrod Ran & Tiffa Adill,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[When Paired]You may discard 1. If you do, look at the top 3 cards of your deck. You may reveal 1 (Vulture) Unit card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck."
Lafter Frankland,Pilot,GD02-095,Purple,(Teiwaz),4,1,2,1,No,Lafter Frankland,None,None,No,None,0,0,0,Yes*,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Attack]If this Unit is damaged and Lv.5 or lower, it gains <High-Maneuver> during this battle. (This Unit can't be blocked.)"
Desil Galette,Pilot,GD02-096,Purple,(Vagan)(X-Rounder),4,1,2,1,No,Desil Galette,None,None,No,None,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Linked]You may choose 1 (Vagan) Unit card that is Lv.2 or lower from your trash. Pay its cost to deploy it.
Kamille Bidan,Pilot,GD02-097,White,(AEUG)(Newtype),5,1,1,2,No,Kamille Bidan,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Add this card to your hand. While there is a friendly white Base in play, this Unit gets AP+2."
Quattro Bajeena,Pilot,GD02-098,White,(AEUG)(Newtype),4,1,1,2,No,Quattro Bajeena,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[When Linked]If this is an (AEUG) Unit, draw 1. If you do, discard 1."
Gaelio Bauduin,Pilot,GD02-099,White,(Gjallarhorn),3,1,1,1,No,Gaelio Bauduin,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"[When Paired]If there are 4 or more (Gjallarhorn) cards in your trash, choose 1 enemy Unit. It gets AP-2 during this turn."
Dramatic Turnabout,Command,GD02-100,Blue,None,5,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,"Choose 1 friendly damaged Unit. It recovers 2 HP. Then, draw 1. Burst: Draw 1."
Beneath the Mask,Command,GD02-101,Blue,None,1,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main]/[Action]Choose 1 to 2 enemy Units that are Lv.2 or lower. Rest them.
Mouar’s Determination | Mouar Pharaoh,Command/Pilot,GD02-102,Blue,(Titans),2,1,1,0,No,Mouar Pharaoh,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Main]/[Action]Choose 1 friendly (Titans) Unit. It gets AP+2 during this turn. [Pilot][Mouar Pharaoh]
AGE Device,Command,GD02-103,Green,None,4,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,Yes,No,No,No,Yes*,No,No,No,No,No,No,No,No,No,"If you have an (AGE System) Unit in play, place 1 EX Resource. Burst: Choose 1 (Asuno Family) Pilot card from your trash. Add it to your hand."
Turning Point of History,Command,GD02-104,Green,None,1,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Main]Look at the top 3 cards of your deck and return 1 to the top. Return the remaining cards to the bottom of your deck. Then, if you have a (Newtype) Pilot in play, draw 1."
Valedictorian | Xavier Olivette,Command/Pilot,GD02-105,Green,(Zeon)(Newtype),2,1,1,0,No,Xavier Olivette,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,[Action]Choose 1 of your Unit tokens. It can't receive battle damage from enemy Units during this battle.
White Wolf | Woolf Enneacle,Command/Pilot,GD02-106,Green,(Earth Federation),3,1,1,0,No,Woolf Enneacle,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"[Action]During this battle, your shield area cards can't receive damage from enemy Units that are Lv.3 or lower."
All-Range Attack,Command,GD02-107,Red,None,4,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Deal 1 damage to all enemy Units other than Link Units. Burst: Choose 1 enemy Unit. Deal 1 damage to it.
That One Looks A Lot Stronger?,Command,GD02-108,Red,None,3,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"[Main]Choose 1 friendly (Clan) Unit. During this turn, it may choose an active enemy Unit that is Lv.4 or lower as its attack target."
Undying Persistence | Shiiko Sugai,Command/Pilot,GD02-109,Red,(Clan)(Newtype),4,1,1,1,No,Shiiko Sugai,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main]/[Action]Choose 1 enemy Unit. Deal 1 damage to it.
Awakened Power,Command,GD02-110,Purple,None,6,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main]Choose 1 Unit card that is Lv.5 or lower from your trash. Pay its cost to deploy it.
Decisive Last Resort,Command,GD02-111,Purple,None,5,4,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Choose 6 purple Unit cards from your trash. Exile them from the game. If you do, choose 1 enemy Unit. Destroy it. Burst: Choose 1 enemy Unit that is Lv.3 or lower. Deal 2 damage to it."
Momentary Respite,Command,GD02-112,Purple,None,4,3,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Choose 1 purple Pilot card from your trash. Add it to your hand. Burst: Draw 1.
Sisterly Care | Amida Arca,Command/Pilot,GD02-113,Purple,(Teiwaz),4,2,1,1,No,Amida Arca,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Main]/[Action]If a friendly (Teiwaz) Link Unit is in play, choose 1 enemy Unit with 2 or less AP. Destroy it. [Pilot][Amida Arca]"
It's Name is Ryusei-Go | Norba Shino,Command/Pilot,GD02-114,Purple,(Tekkadan)(Alaya-Vijnana),2,1,1,0,No,Norba Shino,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Main]/[Action]Choose 1 damaged friendly Unit. It gets AP+2 during this turn. [Pilot][Norba Shino]
Familial Devotion | Witz Sou,Command/Pilot,GD02-115,Purple,(Vulture),2,1,0,1,No,Witz Sou,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Main]/[Action]Choose 1 friendly (Vulture) Unit. It gets AP+2 during this turn. [Pilot][Witz Sou]
Comrades Come First | Roybea Loy,Command/Pilot,GD02-116,Purple,(Vulture),3,1,1,0,No,Roybea Loy,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"[Main]If there are 7 or more cards in your trash, choose 1 friendly (Vulture) Unit. During this turn, it may choose an active enemy Unit that is Lv.4 or lower as its attack target. [Pilot][Roybea Loy]"
A New Sign,Command,GD02-117,White,None,4,3,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Draw 3. Then, discard 2. Burst: Choose 1 (AEUG) Base card from your trash. Add it to your hand."
Heart Set on Revenge | Ein Dalton,Command/Pilot,GD02-118,White,(Gjallarhorn),3,1,1,0,No, Ein Dalton,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,[Action]Choose 1 enemy Unit with 4 or less HP battling a friendly Unit with <Blocker>. Return it to its owner's hand. [Pilot][Ein Dalton]
Persistent and Fortudinous | Carta Issue,Command/Pilot,GD02-119,White,(Gjallarhorn),2,1,1,0,No,Carta Issue,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"[Action]If you have a (Gjallarhorn) Link Unit in play, choose 1 enemy Unit. It gets AP-3 during this battle. [Pilot][Carta Issue]"
Aspiring Pilot | Fa Yuiry,Command/Pilot,GD02-120,White,(AEUG),3,1,0,1,No, Fa Yuiry,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[Action]Choose 1 of your (AEUG) Units/Bases. It recovers 2 HP. [Pilot][Fa Yuiry]
Dominion,Base,GD02-121,Blue,(Earth Alliance)(Warship),4,1,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"Then, choose 1 friendly blue Unit. It recovers 2 HP."
Alexandria,Base,GD02-122,Blue,(Titans)(Warship),3,2,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Then, choose 1 rested enemy Unit that is Lv.4 or lower. Deal 1 damage to it."
Sodon,Base,GD02-123,Green,(Zeon)(Warship),3,2,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"Then, choose 1 friendly Unit token. During this turn, it may choose an active enemy Unit with 5 or less AP as its attack target."
Diva,Base,GD02-124,Green,(Earth Federation)(Warship),3,1,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No," During your turn, while you are Lv.7 or higher, all friendly green (Earth Federation) Units get AP+1."
Gwadan,Base,GD02-125,Red,(Neo Zeon)(Warship),4,2,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"Then, if it is your turn, you may discard 1 red card. If you do, draw 1."
Shuji's Hideout,Base,GD02-126,Red,(Clan)(Stronghold),3,1,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Destroyed]Choose 1 enemy Unit that is Lv.4 or lower. Deal 1 damage to it.
Freeden,Base,GD02-127,Purple,(Vulture)(Warship),2,1,0,5,No,None,None,None,No,None,0,0,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Destroyed]Place the top 2 cards of your deck into your trash.
Hammerhead,Base,GD02-128,Purple,(Teiwaz)(Warship),4,2,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Then, if it is your turn and a friendly (Teiwaz) Link Unit is in play, choose 1 enemy Unit with 2 or less AP. Destroy it."
Argama,Base,GD02-129,White,(AEUG)(Warship),3,1,0,4,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,This Base can't receive enemy effect damage.
Sleipnir,Base,GD02-130,White,(Gjallarhorn)(Warship),4,2,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"Then, if a friendly (Gjallarhorn) Unit is in play, choose 1 enemy Unit. It gets AP-2 during this turn."
Gundam NT-1 | RX-78NT-1,Unit,GD03-001,Blue,(Earth Federation),5,4,4,4,Yes,None,Christina Mackenzie/Amuro Ray,None,Yes,"[When Paired] Choose 1 rested enemy Unit. Deal 1 damage to it. When this effect destroys an enemy Unit, draw 1.",2,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[When Paired] Choose 1 rested enemy Unit. Deal 1 damage to it. When this effect destroys an enemy Unit, draw 1."
The-O | PMX-003,Unit,GD03-002,Blue,(Titans)(Jupitris),7,5,5,5,Yes,None,Paptimus Scirocco,None,Yes,"[During Pair] When on of your other Units with <Repair> attacks, choose 1 enemy Unit whose Lv. is equal to or lower than that Unit. Rest it.",3,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[During Pair] When on of your other Units with <Repair> attacks, choose 1 enemy Unit whose Lv. is equal to or lower than that Unit. Rest it."
MEssala | PMX-000,Unit,GD03-003,Blue,(Titans)(Jupitris),6,4,5,4,Yes,None,Paptimus Scirocco,None,No,None,1,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,None
Hambrabi | RX-139,Unit,GD03-004,Blue,(Titans),5,4,5,3,Yes,None,Yazan Gable,None,No,None,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Attack] If you have 2 or more other (Titans) Units in play, choose 1 enemy Unit with 5 or less HP. Rest it."
Kshatriya Besserung | MS-06FZ,Unit,GD03-005,Blue,(Neo Zeon),6,5,4,4,Yes,None,Marida Cruz,None,No,None,1,0,0,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,[Deploy] Draw 1.
