card_number,card_name,card_type,colors,lv,cost,ap,hp,traits,effects,link_conditions,pilot_name,pilot_ap,pilot_hp,rarity,set_id,zone,effect_raw
GD03-039,Red Gundam,Unit,red,4,2,2,4,Clan,"deploy,ping",Clan (Trait),,0,0,,GD03,,"[Deploy] Choose 1 other active friendly (Clan) Unit. Rest it. If you do, choose 1 enemy Unit with 2 or less AP. Deal 2 damage to it."
GD03-041,Patulia | MAN-003,Unit,red,7,6,5,6,SRA,"deploy,ping",Carris Nautilus,,0,0,,GD03,,[Deploy] Deal 3 damage to all Bases.
GD03-042,Duel Gundam (Assault Shroud) | GAT-x102,Unit,red,5,3,3,4,ZAFT,,Yzak Jule,,0,0,,GD03,,"While this Unit has 5 or more AP, it may choose an active enemy Unit that is LV.5 or lower as its attack target."
GD03-044,Daughtress Flyer | DR-6800FA,Unit,red,3,2,2,3,New UNE,deploy,,,0,0,,GD03,,[Deploy] Deploy 1 rested [Daughtress]((New UNE)-AP0-HP1) Unit token.
GD03-045,Balient | NR-001,Unit,red,3,2,2,4,New UNE,,,,0,0,,GD03,,"While you have a Unit token in play, this Unit gets AP+1"
GD03-050,Gundam Barbatos Lupus | ASW-G-08,Unit,purple,7,6,5,5,"Tekkadan,Gundam Frame",ping,Mikazuki Augus,,0,0,,GD03,,"[Activate Main] Choose 3 (Tekkadan)/(Teiwaz) Unit cards from your trash. Exile them from the game. If you do, choose 1 enemy Unit. Deal 2 damage to it."
GD03-051,Gundam X Divider | GX-9900-DV,Unit,purple,6,4,4,4,Vulture,,Garrod Ran/Jamil Neate,,0,0,,GD03,,[When Linked] You may choose 1 Unit card that is Lv.4 or lower from your trash. Pay its cost to deploy it.
GD03-059,Zedas R | xxv-xvr,Unit,purple,4,3,4,3,Vagan,deploy,X-Rounder (Trait),,0,0,,GD03,,"[Deploy] You may choose 1 (Vagan) card from your trash. Exile it from the game. If you do, choose 1 of your (Vagan) Units. It gets AP+2 during this turn."
GD03-060,CGS Mobile Worker (Commander Type) | TK-53,Unit,purple,2,2,0,2,Tekkadan,,,,0,0,,GD03,,"[Once per Turn] During your turn, when this Unit receives effect damage, deploy 1 rested [CGS Mobile Worked][[Tekkadan)-AP1-HP1) Unit token."
GD03-061,Gundam Barbatos 6th Form | ASW-G-08,Unit,purple,6,5,5,4,"Tekkadan,Gundam Frame",repair:3,Mikazuki Augus,,0,0,,GD03,,"While this Unit has 1 HP, it gains <Repair 3>"
GD03-064,Defurse | xvm-gz,Unit,purple,5,4,2,5,"UE,Vagan",deploy_draw:1,,,0,0,,GD03,,"[Deploy] You may choose 1 (X-Rounder) card from your trash and add it to your hand. If you do, discard 1."
GD03-067,Rouei | STH-05R,Unit,purple,4,3,3,4,"Teiwaz,Tekkadan",deploy,Teiwaz/Tekkadan (Trait),,0,0,,GD03,,[Deploy] You may choose 1 of your Units. Deal 1 damage to it. It gets AP+1 during this turn.
GD03-070,Freedom Gundam | ZFMG-Z10A,Unit,white,6,5,4,5,Triple Ship Alliance,,Kira Yamato,,0,0,,GD03,,"While this Unit is rested, friendly Shields can't receive battle damage from enemy Units."
GD03-072,Aile Strike Gundam | GAT-X104+AWM/E-X01,Unit,white,4,3,3,4,Triple Ship Alliance,"blocker,deploy_draw:1",Mu La Flaga,,0,0,,GD03,,"[Deploy] If you have another (Triple Ship Alliance) UNit in play, draw 1. Then discard 1."
GD03-074,Tieren Taozi MSJ-06-SP,Unit,white,3,2,3,1,Superpower Bloc,,Superpower Bloc (Trait),,0,0,,GD03,,"[During Pair] When you have another (Superpower Bloc) Unit in play, enemy Units choose this rested Unit as their attack target if possible when attacking."
GD03-076,Freedom Gundam (METEOR) | ZGMF-X10A,Unit,white,8,6,6,6,Triple Ship Alliance,,Kira Yamato,,0,0,,GD03,,"[Once per Turn] During your turn, when your (Triple Ship Alliance) Unit deals battle damage to an enemy Unit, you may return the enemy Unit to its owner's hand."
GD03-078,Tieren High Mobility Type | MSJ-06II-C,Unit,white,2,2,3,1,Superpower Bloc,,Sergei Smirnov,,0,0,,GD03,,[During Link] [Destroyed] Return the card paired with this Unit to your hand.
GD03-079,G-Defenser | FXA-05D,Unit,white,3,2,3,2,AEUG,,AEUG (Trait),,0,0,,GD03,,"When you rest your Base with one of your Units' effects, you may rest this Unit instead."
GD03-080,Gundam Kimaris Trooper (Trooper Mode) | ASW-G-66,Unit,white,6,4,5,4,"Gjallarhorn,Gundarm Frame",deploy_draw:1,Gaelio Bauduin,,0,0,,GD03,,[When Linked] Choose 1 (Gjallarhorn) Command card from your trash. Add it to your hand.
GD03-081,AEU Enact Demonstration Color | AEU-09T,Unit,white,2,1,2,1,Superpower Bloc,,Superpower Bloc (Trait),,0,0,,GD03,,This Unit can only attack during a turn when one of your (Superpower Block) / (UN) Units is deployed.
GD03-084,Paptimus Scirocco,Pilot,blue,5,1,0,0,"Titans,Jupitris,Newtype","repair:2,deploy_draw:1",,Paptimus Scirocco,2,2,,GD03,,"[When Linked] Choose 1 of your other Units. it gains <Repair 2> during this turn. Then, if it is a (Jupitris) Unit, draw 1."
GD03-085,Christina Mackenzie,Pilot,blue,3,1,0,0,Earth Federation,,,Christina Mackenzie,1,1,,GD03,,"When playing this card from your hand and pairing it with a Unit with ""Gundam NT-1"" in its card name, play this card as if it has 0 cost."
GD03-086,Yazan Gable,Pilot,blue,4,1,0,0,Titans,,,Yazan Gable,1,2,,GD03,,[Attack] Choose 1 of your (Titans) Units whose Lv. is equal to or lower than this Unit. It gets AP+1 during this turn.
GD03-087,Sarah Zabiarov,Pilot,blue,3,1,0,0,Titans,,,Sarah Zabiarov,1,1,,GD03,,[When Linked] Choose 1 enemy Unit that is LV.3 or lower. Rest it.
GD03-089,Bernard Wiseman,Pilot,green,2,1,0,0,"Zeon,Cyclops Team",,,Bernard Wiseman,0,1,,GD03,,Increase this Unit's AP by an amount equal to the number of (Cyclops Team) Pilot cards/Command cards with unique names in your trash.
GD03-092,Nyaan,Pilot,red,4,1,0,0,"Zeon,Newtype",ping,,Nyaan,1,2,,GD03,,"[When Linked] Place the top card of your deck into your trash. If you placed a (Zeon)/(Clan) card with this effect, choose 1 enemy Unit. Deal 1 damage to it."
GD03-095,Azee Gurumin,Pilot,purple,4,1,0,0,Teiwaz,,,Azee Gurumin,1,2,,GD03,,"[Once per Turn] When this Unit receives effect damage, choose 1 enemy Unit. It gets AP-1 during this turn."
GD03-096,Jamil Neate,Pilot,purple,4,1,0,0,"Vulture,Newtype",deploy_draw:1,,Jamil Neate,2,1,,GD03,,"[During Link] [Attack] You may discard 1. If you do, draw 1."
GD03-099,Emma Sheen,Pilot,white,3,1,0,0,AEUG,,,Emma Sheen,1,1,,GD03,,"[During Link] [Destroyed] If a friendly white Base is in play, choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Return it to its owner's hand."
GD03-105,Bridge Crew,Command,green,4,1,0,0,,timing:main,,,0,0,,GD03,,"[Main] Choose 1 friendly Unit. During this turn, it may choose an active enemy Unit that has not Pilot paired with it as its attack target."
GD03-110,Eliminate Target,Command,red,6,1,0,0,,"ping,timing:both",,,0,0,,GD03,,[Main] / [Action] Choose 1 Pilot paired with an enemy Unit that is LV.5 or lower. Destroy it.
GD03-112,Warped Intent,Command,red,4,1,0,0,,timing:both,,,0,0,,GD03,,"[Main] / [Action] During this turn, all Units paired with a Pilot get AP+2"
GD03-113,Human Karma,Command,red,3,2,0,0,,"ping,timing:both",,,0,0,,GD03,,"[Main] / [Action] Choose 1 active friendly Unit. Rest it. If you do, choose 1 enemy Unit whose Lv. is equal to or lower than the Unit rested with this ability. Deal 3 damage to it."
GD03-114,Look of Determination,Command,purple,2,2,0,0,,"ping,timing:action",,,0,0,,GD03,,"[Action] Choose 1 active enemy Unit that is Lv.2 or lower. Destroy it. If there are 10 or more cards in your trash, choose 1 active enemy Unit that is Lv.4 or lower instead."
GD03-117,Orga's Order,Command,purple,3,1,0,0,,timing:main,,,0,0,,GD03,,"[Main] If 1 to 4 enemy units are in play, deploy 1 [Graze Custom]((Tekkadan) - AP2 - HP2) Unit token. If 5 or more are in play, deploy 1 [Gundam Barbatos 4th Form]((Tekkadan) - AP4 - HP4) Unit token."
GD03-118,Awakened Potential,Command,white,4,1,0,0,,"blocker,timing:action",,,0,0,,GD03,,"[Action] Choose 1 rested enemy Unit that is Lv.4 or lower. Return it to its owner's hand. Then, if there are 2 or more cards with """"Awakened Potential"" in their card name in your trash, you may choose 1 friendly Unit. It gains <Blocker> during this turn."
GD03-119,Awkward Approach,Command,white,3,1,0,0,,timing:main,,,0,0,,GD03,,"Effect: [Main] Choose 1 rested friendly Base. Set it as active. If you do, all enemy Units get AP-1 during this turn."
GD03-120,Immortal Colasour | Patrick Colasour,Command,white,2,1,1,0,Superpower Bloc,timing:main,,Patrick Colasour,0,0,,GD03,,"[Main] During this turn, if a friendly (Superpower Block)/(UN) UNit destroys an enemy Unit with battle damage, choose 1 rested friendly (Superpower Bloc)/(UN) Unit. Set it as active. It can't attack during this turn."
GD03-121,Unheralded Attack | Katz Kobayashi,Command,white,1,1,1,0,"AEUG,Newtype",timing:action,,Katz Kobayashi,0,0,,GD03,,[Action] Choose 1 friendly Base and 1 enemy Unit with 3 or less HP. Rest them.
GD03-126,Cyclops Team,Base,green,4,1,0,5,"Zeon,Cyclops Team",,,,0,0,,GD03,,[Deploy] Add 1 of your Shields to your hand. All friendly Unit tokens get AP+1 during your opponent's turn.
ST01-001,Gundam | RX-78-2,Unit,blue,4,3,3,4,"Earth Federation,White Base Team",repair:2,Amuro Ray,,0,0,,ST01,,"[During Pair] During your turn, all your Units get AP+1."
ST01-002,Gundam (MA Form) | RX-78-2,Unit,blue,5,3,4,3,"Earth Federation,White Base Team",when_paired_draw:1,Amuro Ray,,0,0,,ST01,,[When Paired (White Base Team) Pilot] Draw 1.
ST01-003,Guncannon | RX-77,Unit,blue,3,2,2,4,"Earth Federation,White Base Team",,Kai Shiden,,0,0,,ST01,,None
ST01-004,Guntank | RX-75,Unit,blue,3,2,2,3,"Earth Federation,White Base Team",deploy,Hayato Koboyashi,,0,0,,ST01,,[Deploy] Choose 1 enemy Unit with 2 or less HP. Rest it.
ST01-005,GM | RGM-79,Unit,blue,2,1,2,2,Earth Federation,,,,0,0,,ST01,,None
ST01-006,Gundam Aerial (Permet Score Six) | XVX-016,Unit,white,5,4,4,4,Academy,,Suletta Mercury,,0,0,,ST01,,[When Paired] Choose 1 enemy Unit that is Lv.5 or lower. It gets AP-3 during this turn.
ST01-007,Gundam Aerial (Bit on Form) | XVX-016,Unit,white,4,2,3,4,Academy,,Suletta Mercury,,0,0,,ST01,,None
ST01-008,Demi Trainer | MSJ-121,Unit,white,1,1,1,1,Academy,blocker,,,0,0,,ST01,,None
ST01-009,Zowort | F/D-19,Unit,white,2,2,3,2,Academy,blocker,,,0,0,,ST01,,This Unit can't choose the enemy player as its attack target.
ST01-010,Amuro Ray,Pilot,blue,4,1,0,0,"Earth Federation,White Base Team,Newtype",,,Amuro Ray,2,1,,ST01,,[When Paired] Choose 1 enemy Unit with 5 or less HP. Rest it.
ST01-011,Suletta Mercury,Pilot,white,4,1,0,0,Academy,,,Suletta Mercury,1,2,,ST01,,[Attack] [Once per Turn] Choose 1 of your Resources. Set it as active.
ST01-012,Thoroughly Damaged | Hayato Kobayashi,Command,blue,2,1,0,1,"Earth Federation,White Base Team","ping,timing:main",,Hayato Kobayashi,0,0,,ST01,,[Main] Choose 1 rested enemy Unit. Deal 1 damage to it.
ST01-013,Kai's Resolve | Kai Shiden,Command,blue,3,1,1,0,"Earth Federation,White Base Team","recover,timing:main",,Kai Shiden,0,0,,ST01,,[Main] Choose 1 friendly Unit. It recovers 3 HP.
ST01-014,Unforeseen Incident,Command,white,3,1,0,0,,timing:both,,,0,0,,ST01,,[Main]/[Action] Choose 1 enemy Unit. It gets AP-3 during this turn.
ST01-015,White Base,Base,blue,3,2,0,5,"Earth Federation,White Base Team,Warship",,,,0,0,,ST01,,[Active Main][Once Per Turn]2 If you have no units deploy 1 [Gundam]((White Base Team)AP3xHP3) Unit token. If you have one unit deploy 1 [GunCannon]((White Base Team)AP2xHP2) Unit token. If you have two or more units deploy 1 [GunTank]((White Base Team)AP1xHP1) Unit token.
ST01-016,"Asticassia School of Technology, Earth House",Base,white,2,1,0,5,"Academy,Stronghold",,,,0,0,,ST01,,[Activate Main] Rest this Base : All friendly Link Unites get AP+1 during this turn.
ST02-001,Wing Gundam | XXXG-01W,Unit,green,6,4,4,5,Operation Meteor,breach:5,Heero Yuy,,0,0,,ST02,,This Unit may choose an active enemy Unit that is Lv.4 or lower as its attack target.
ST02-002,Wing Gundam (Bird Mode) | XXXG-01W,Unit,green,3,3,2,2,Operation Meteor,deploy,Heero Yuy,,0,0,,ST02,,[Deploy] Place 1 EX Resource
ST02-003,Gundam Heavyarms | XXXG-01H,Unit,green,5,3,3,4,Operation Meteor,ping,Trowa Barton,,0,0,,ST02,,"[During Pair] During you turn, when this Unit destroys an enemy Unit with battle damage, deal 1 damage to all enemy Units that are Lv.3 or lower."
ST02-004,Gundam Sandrock | XXXG-01SR,Unit,green,4,2,4,3,Operation Meteor,,Quatre Raberba Winner,,0,0,,ST02,,None
ST02-005,Maganac | WMS-03,Unit,green,2,2,3,2,Maganac Corps,,,,0,0,,ST02,,None
ST02-006,Tallgeese | OZ-00MS,Unit,blue,5,4,4,4,OZ,,Zechs Merquise,,0,0,,ST02,,[Activate Main] [Once per Turn] 4: Set this Unit as Active
ST02-007,Leo | OZ-06MS,Unit,blue,2,2,2,2,OZ,,OZ (Trait),,0,0,,ST02,,None
ST02-008,Aries | OZ-07AMS,Unit,blue,2,2,2,1,OZ,blocker,,,0,0,,ST02,,None
ST02-009,Tragos | OZ-07MS,Unit,blue,1,1,1,1,OZ,blocker,,,0,0,,ST02,,None
ST02-010,Heero Yuy,Pilot,green,4,1,0,0,Operation Meteor,,,Heero Yuy,2,1,,ST02,,This Unit gets AP+1 and HP+1 while linked.
ST02-011,Zechs Merquise,Pilot,blue,5,1,0,0,OZ,deploy_draw:1,,Zechs Merquise,2,1,,ST02,,"[During Link] During your turn, when this Unit destroys an enemy Unit with battle damage, draw 1 card."
ST02-012,Simultaneous Fire | Trowa Barton,Command,green,4,1,1,1,Operation Meteor,"breach:3,timing:main",,Trowa Barton,0,0,,ST02,,[Main] Choose 1 of your Units. It gains <Breach 3> during this turn.
ST02-013,Peaceful Timbre | Quarte Raberba Winner,Command,green,4,1,1,1,Operation Meteor,timing:action,,Quarte Raberba Winner,0,0,,ST02,,"[Action] During this battle, your shield area cards can't receive damage from enemy Units that are Lv.4 or lower."
ST02-014,Siege Ploy,Command,blue,3,1,0,0,,timing:both,,,0,0,,ST02,,[Main]/[Action] Choose 1 enemy Unit with 5 or less HP. Rest it. Burst: Activate this card's [Main].
ST02-015,Saint Gabriel Institute,Base,green,2,2,0,5,"Academy,Stronghold",,,,0,0,,ST02,,"Then, look at the top 2 cards of your deck and return 1 to the top and 1 to the bottom."
ST02-016,Corsica Base,Base,blue,3,3,0,5,"OZ,Stronghold",,,,0,0,,ST02,,"Then, if it is your turn, deploy 1 [Tallgeese]((OZ)AP4*HP2) Unit token. If it is your turn and a card with ""Corsica Base"" in its card name is in your trash, deploy 2 [Leo]((OZ)AP1*HP1) Unit tokens instead."
ST03-001,Sinanju,Unit,red,6,5,5,4,Neo Zeon,"high_maneuver,ping",Full Frontal,,0,0,,ST03,,[During Pair]This Unit gains <High-Maneuver>
ST03-002,Angelo's Geara Zulu | AMS-129,Unit,red,4,3,3,3,Neo Zeon,support:2,Angelo Sauper,,0,0,,ST03,,[Activate Main] <Support 2>
ST03-003,Geara Zulu | AMS-129,Unit,red,3,2,3,2,Neo Zeon,,Neo Zeon (Trait),,0,0,,ST03,,None
ST03-004,Gaza D (Sleeves) | AMX-006,Unit,red,2,2,2,1,Neo Zeon,support:2,,,0,0,,ST03,,[Activate Main] <Support 2>
ST03-005,Dra-C (Sleeves) | MS-21C,Unit,red,1,1,1,2,Neo Zeon,,,,0,0,,ST03,,None
ST03-006,Char's Zaku II | MS-06S,Unit,green,3,2,3,2,Zeon,deploy_draw:1,Char Aznable,,0,0,,ST03,,[Destroyed] Look at the top 3 cards of your deck. You may reveal 1 (Zeon)/(Neo Zeon) Unit card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.
ST03-007,Zaku I | MS-05,Unit,green,1,1,1,2,Zeon,,,,0,0,,ST03,,None
ST03-008,Zaku II | MS-06,Unit,green,2,1,1,2,Zeon,,,,0,0,,ST03,,[Attack] This Unit gets AP+2 during this turn.
ST03-009,Gouf | MS-078,Unit,green,3,3,2,3,Zeon,deploy,Rambo Ral,,0,0,,ST03,,[Deploy] Deploy 1 rested [Zaku II]((Zeon)AP1*HP1) Unit token.
ST03-010,Full Frontal,Pilot,red,6,1,0,0,"Neo Zeon,Cyber-Newtype",,,Full Frontal,2,2,,ST03,,[When Paired] You may deploy 1 (Neo Zeon)/(Zeon) Unit card this is Lv.4 or lower from your hand.
ST03-011,Char Aznable,Pilot,green,3,1,0,0,"Zeon,Newtype",high_maneuver,,Char Aznable,1,1,,ST03,,"[Attack]During this turn, this Unit gets AP+1 and, if it is a Link Unit, it gains <High-Maneuver>"
ST03-012,Indignation | Angelo Sauper,Command,red,2,1,1,0,Neo Zeon,timing:both,,Angelo Sauper,0,0,,ST03,,[Main] / [Action] Choose 1 friendly Unit. It gets AP+2 during this turn.
ST03-013,Close Combat,Command,red,2,2,0,0,,"ping,timing:both",,,0,0,,ST03,,[Main] / [Action] Choose 1 enemy Unit. Deal 2 damage to it.
ST03-014,The Blue Giant | Ramba Ral,Command,green,4,1,1,1,Zeon,timing:action,,Ramba Ral,0,0,,ST03,,[Action] Choose 1 friendly Unit. It can't receive battle damage from enemy Units with 2 or less AP during this battle.
ST03-015,Rewloola,Base,red,3,2,0,5,"Neo Zeon,Warship",ping,,,0,0,,ST03,,"Then, choose 1 enemy Unit with 5 or less AP. Deal 1 damage to it"
ST03-016,Falmel,Base,green,3,2,0,5,"Zeon,Warship",,,,0,0,,ST03,,"Then, if it is your turn, deploy 1 rested [Char's Zaku II]((Zeon)AP3*HP1) Unit token."
ST04-001,Aile Strike Gundam | GAT-X105+AQM/E-X01,Unit,white,5,4,4,4,Earth Alliance,blocker,Kira Yamato,,0,0,,ST04,,[When Paired Lv.4 or Higher Pilot] Choose 1 enemy Unit with 4 or less HP. Return it to its owner's hand.
ST04-002,Strike Gundam | GAT-X105,Unit,white,4,2,3,3,Earth Alliance,deploy_draw:1,Kira Yamato,,0,0,,ST04,,"[Deploy] Draw 1. Then, discard 1."
ST04-003,Moebius Zero | TS-MA2mod 00,Unit,white,3,2,2,4,Earth Alliance,,Mu La Flaga,,0,0,,ST04,,None
ST04-004,Moebius | TS-MA2,Unit,white,1,1,1,1,Earth Alliance,blocker,,,0,0,,ST04,,None
ST04-005,Strike Dagger | GAT-01,Unit,white,2,2,3,2,Earth Alliance,,,,0,0,,ST04,,None
ST04-006,Aegis Gundam | GAT-X303,Unit,red,4,3,4,3,ZAFT,ping,Athrun Zala,,0,0,,ST04,,"[Attack] If this Unit has 5 or more AP, choose 1 enemy Unit that is Lv. 5 or higher. Deal 3 damage to it."
ST04-007,Aegis Gundam | GAT-X303 (MA Mode),Unit,red,4,3,3,4,ZAFT,breach:3,Athrun Zala,,0,0,,ST04,,None
ST04-008,Ginn | ZGMF-1017,Unit,red,2,1,2,2,ZAFT,,,,0,0,,ST04,,None
ST04-009,Miguel's Ginn | ZGMF-1017,Unit,red,2,2,3,1,ZAFT,when_paired_draw:1,Miguel Ayman,,0,0,,ST04,,"[During Pair] [Destroyed] If you have another Link Unit in play, draw 1."
ST04-010,Kira Yamato,Pilot,white,4,1,0,0,"Earth Alliance,Coordinator",,,Kira Yamato,2,1,,ST04,,[Attack] Choose 1 enemy Unit. It gets AP-2 during this battle.
ST04-011,Athrun Zala,Pilot,red,4,1,0,0,"ZAFT,Coordinator",,,Athrun Zala,1,2,,ST04,,"[When linked] If this is a Link Unit, during this turn, it may choose an active enemy Unit that is Lv.5 or lower as its attack target."
ST04-012,Striker Pack,Command,white,4,2,0,0,,timing:main,,,0,0,,ST04,,"[Main] If you have no (Earth Alliance) Unit tokens in play, deploy 1 [Sword Strike Gundam]]((Earth Alliance)-AP4-HP2-<Blocker>) or 1 [Launcher Strike Gundam]]((Earth Alliance)-AP2-HP4-<Blocker>) Unit token."
ST04-013,Hawk of Endymion | Mu La Flaga,Command,white,2,1,1,0,Earth Alliance,timing:both,,Mu La Flaga,0,0,,ST04,,[Main]/[Action] Choose 1 enemy Unit 3 or less HP. Return it to it's owner's hand.
ST04-014,The Magic Bullet of Dusk | Miguel Ayman,Command,red,3,1,0,1,"ZAFT,Coordinator","first_strike,timing:both",,Miguel Ayman,0,0,,ST04,,[Main]/[Action] Choose 1 friendly Unit that is LV.2 or lower. It gains <First Strike> during this turn.
ST04-015,Archangel,Base,white,3,1,0,5,"Earth Alliance,Warship",,,,0,0,,ST04,,[Activate Main] [Once per Turn] 2 : Choose 1 friendly Unit with <Blocker>. Set it as active. It can't attack during this turn.
ST04-016,Vesalius,Base,red,3,1,0,5,"ZAFT,Warship",,,,0,0,,ST04,,[Activate Main] Rest this Base : Choose 1 friendly Unit. It gets AP+1 during this turn.
ST05-001,Gundam Barbatos 4th Form | ASW-G-08,Unit,purple,6,4,4,5,"Tekkadan,Gundam Frame","deploy,ping",Mikazuki Augus,,0,0,,ST05,,"[Deploy] Choose 1 of your other Units. Deal 1 damage to it. It gets AP+1 during this turn. While this is damaged, it gains <Suppression>."
ST05-002,Gundam Barbatos 2nd Form | ASW-G-08,Unit,purple,4,2,2,4,"Tekkadan,Gundam Frame",,Mikazuki Augus,,0,0,,ST05,,"While this Unit is Damaged, it gets AP+2"
ST05-003,CGS Mobile Worker | TK-S3,Unit,purple,1,1,0,2,Tekkadan,,,,0,0,,ST05,,[Activate Main] Rest this Unit: Choose 1 of your Units. Deal 1 damage to it. It gets AP+1 during this turn.
ST05-004,Graze Custom | EB-06/tc,Unit,purple,2,1,2,2,Tekkadan,,,,0,0,,ST05,,None
ST05-005,Gundam Gusion Rebake | ASW-G-11,Unit,purple,4,3,3,4,"Tekkadan,Gundam Frame",,Akihiro Altland,,0,0,,ST05,,[Destroyed] Choose 1 enemy Unit with 4 or less AP. Rest it.
ST05-006,Hyakuren | STH-05,Unit,purple,3,2,4,3,Teiwaz,,,,0,0,,ST05,,None
ST05-007,McGillis' Schwalbe Graze | EB-05s,Unit,white,4,3,4,2,Gjallarhorn,blocker,McGillis Fareed,,0,0,,ST05,,[When Paired] Choose 1 enemy Unit that is Lv.3 or lower. It gets AP-2 during this turn.
ST05-008,Graze Commander Type | EB-06s,Unit,white,3,2,3,2,Gjallarhorn,blocker,Gjallarhorn (Trait),,0,0,,ST05,,None
ST05-009,Graze | EB-06,Unit,white,2,1,2,2,Gjallarhorn,,,,0,0,,ST05,,None
ST05-010,Mikazuki Augus,Pilot,purple,4,1,0,0,"Tekkadan,Alaya-Vijnana",ping,,Mikazuki Augus,2,1,,ST05,,[When Paired] Choose 1 of your Units and 1 enemy Unit. Deal 1 damage to them.
ST05-011,Akihiro Altland,Pilot,purple,3,1,0,0,"Tekkadan,Alaya-Vijnana",deploy_draw:1,,Akihiro Altland,1,1,,ST05,,"[During Link] During your turn, when this Unit destroys an enemy Unit with battle damage, choose 1 (Tekkadan) Unit card that is Lv.2 or lower from your trash. Add it to your hand."
ST05-012,McGillis Fareed,Pilot,white,4,1,0,0,Gjallarhorn,,,McGillis Fareed,2,1,,ST05,,"[When Paired] If you have 2 or more other (Gjallarhorn)/(Tekkadan) Units in play, choose 1 enemy Unit with 3 or less HP. Rest it."
ST05-013,With Iron and Blood,Command,purple,2,1,0,0,,timing:both,,,0,0,,ST05,,[Main]/[Action] Choose 1 of your Units. Deal 1 damage to it. It gets AP+3 during this turn.
ST05-014,Fatal Strike,Command,purple,4,2,0,0,,"ping,timing:main",,,0,0,,ST05,,Choose 1 enemy Unit that is Lv.3 or lower. Destroy it.
ST05-015,Isaribi,Base,purple,3,1,0,5,"Tekkadan,Warship",,,,0,0,,ST05,,[Activate Main] Rest this Base : Choose 1 of your damaged Units. It gets AP+2 during this turn.
ST06-001,GQuuuuuuX (Omega Psycommu),Unit,red,5,3,4,4,Clan,first_strike,Amate Yuzuriha (Machu),,0,0,,ST06,,"[When Linked]If another friendly (Clan) Unit is in play, this gains <First Strike> during this turn"
ST06-002,GQuuuuuuX (Omega Psycommu),Unit,red,4,3,4,2,Clan,"deploy,ping",Amate Yuzuriha (Machu),,0,0,,ST06,,"[Deploy]If another friendly (Clan) Unit is in play, choose 1 enemy Unit. Deal 1 damage to it."
ST06-003,Gaia's Rick Dom (GQ),Unit,red,2,2,2,2,Clan,support:1,Gaia (GQ),,0,0,,ST06,,None
ST06-004,Gelgoog (GQ),Unit,red,2,1,2,2,Zeon,,,,0,0,,ST06,,None
ST06-005,Red Gundam,Unit,green,4,3,4,3,Clan,breach:1,Shuji Ito,,0,0,,ST06,,[Attack]Choose 1 to 2 friendly (Clan) Units. They get AP+2 during this turn.
ST06-006,Red Gundam,Unit,green,4,2,3,4,Clan,,Shuji Ito,,0,0,,ST06,,None
ST06-007,Ortega's Rick Dom (GQ),Unit,green,3,2,3,2,Clan,deploy,Ortega (GQ),,0,0,,ST06,,"[Deploy]Choose 1 of your other (Clan) Units. During this turn, it may choose an active enemy Unit with 3 or less AP as its attack target."
ST06-008,Sugai's Gelgoog (GQ),Unit,green,3,2,3,3,Clan,,Clan (Trait),,0,0,,ST06,,None
ST06-009,Amate Yuzuriha (Machu),Pilot,red,4,1,0,0,"Clan,Newtype",deploy_draw:1,,Amate Yuzuriha (Machu),2,1,,ST06,,"[When Linked]Look at the top card of your deck. If it is a (Clan) card, you may reveal it and add it to your hand. Return any remaining card to the bottom of your deck."
ST06-010,Shuji Ito,Pilot,green,4,1,0,0,"Clan,Newtype",,,Shuji Ito,1,2,,ST06,,"[During Link][Attack]If you have a (Clan) Unit in play, look at the top card of your deck. Return it to the top or bottom of your deck."
ST06-011,Ruthless Tactics | Gaia (GQ),Command,red,3,1,1,0,Clan,timing:both,,Gaia (GQ),0,0,,ST06,,[Main]/[Action]Choose 1 to 2 friendly (Clan) Units. They get AP+2 during this turn. [Pilot][Gaia (GQ)]
ST06-012,Schoolgirl and Smuggler,Command,green,1,1,0,0,,"deploy_draw:1,timing:main",,,0,0,,ST06,,[Main]Look at the top 3 cards of your deck. You may reveal 1 (Clan) Unit card/Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.
ST06-013,Fierce Unity | Ortega (GQ),Command,green,3,1,1,0,Clan,timing:action,,Ortega (GQ),0,0,,ST06,,[Action]Choose 1 to 2 friendly (Clan) Units. They can't receive battle damage from enemy Units that are Lv.2 or lower during this turn. [Pilot][Ortega (GQ)]
ST06-014,Clan Battle,Base,red,3,1,0,5,"Clan,Stronghold",,,,0,0,,ST06,,"[Activate･Main]Rest this Base：If a friendly (Clan) Link Unit is in play, choose 1 friendly Unit. It gets AP+2 during this turn."
ST06-015,"Kaneban Co., Ltd.",Base,green,4,2,0,5,"Clan,Stronghold",breach:3,,,0,0,,ST06,,"[Once per Turn]When a friendly (Clan) Unit links, it gains <Breach 3> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)"
